filename,path,huggingface_gender,huggingface_confidence,realistic_gender,realistic_confidence,deepface_gender,deepface_confidence
subject_0_PXL_20220922_132845778.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132845778.PORTRAIT.jpg,Male,0.9834926128387451,Male,0.9594929814338684,Man,99.91056323051453
subject_0_PXL_20220922_132858876.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132858876.PORTRAIT.jpg,Male,0.9830053448677063,Male,0.9288543462753296,Man,98.1640875339508
subject_0_PXL_20220922_132903030.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132903030.PORTRAIT.jpg,Male,0.9789921641349792,Male,0.9417211413383484,Man,99.50416684150696
subject_0_PXL_20220922_132911049.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132911049.PORTRAIT.jpg,Male,0.9824545979499817,Male,0.9258553981781006,Man,99.60814118385315
subject_0_PXL_20220922_132914899.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132914899.PORTRAIT.jpg,Male,0.9857213497161865,Male,0.9809874296188354,Man,99.80158805847168
subject_0_PXL_20220922_132959831.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_132959831.PORTRAIT.jpg,Male,0.9828086495399475,Male,0.9269672632217407,Man,99.65609908103943
subject_0_PXL_20220922_133010927.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_133010927.PORTRAIT.jpg,Male,0.9829875230789185,Male,0.9421949982643127,Man,98.916095495224
subject_0_PXL_20220922_133015215.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_133015215.PORTRAIT.jpg,Male,0.9793474078178406,Male,0.9433139562606812,Man,88.95004987716675
subject_0_PXL_20220922_133020422.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_133020422.PORTRAIT.jpg,Male,0.9810779690742493,Male,0.9297375082969666,Man,99.45254325866699
subject_0_PXL_20220922_133026236.PORTRAIT.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_133026236.PORTRAIT.jpg,Male,0.9857924580574036,Male,0.9265100359916687,Man,98.62982034683228
subject_0_PXL_20220922_134006137.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_134006137.jpg,Male,0.9769144654273987,Male,0.8268848657608032,Man,91.41786098480225
subject_0_PXL_20220922_134022988.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_134022988.jpg,Male,0.9810568690299988,Male,0.927152693271637,Man,98.05805683135986
subject_0_PXL_20220922_134026053.jpg,G:\Thesis\MonkSkinTone_Dataset\Segmented_MSTE\subject_0_PXL_20220922_134026053.jpg,Male,0.9779710173606873,Male,0.9471225142478943,Man,95.4177975654602
